"UTMX","UTMY","name"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4327000,"Snake Reef"
NA,4327000,"Snake Reef"
NA,4327000,"Snake Reef"
NA,4327000,"Snake Reef"
NA,4327000,"Snake Reef"
NA,4327000,"Snake Reef"
NA,4328000,"Snake Reef"
NA,4328000,"Snake Reef"
NA,4328000,"Snake Reef"
NA,4328000,"Snake Reef"
NA,4328000,"Snake Reef"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4318000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4319000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4320000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4321000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4322000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4323000,"Dumping Ground"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4315000,"Hacketts Bar"
NA,4311000,"Tolly Pt Ground"
NA,4311000,"Tolly Pt Ground"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4307000,"Thomas Pt Shoal"
NA,4311000,"Brickhouse Bar"
NA,4311000,"Brickhouse Bar"
NA,4311000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4312000,"Brickhouse Bar"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4303000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4304000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4305000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4306000,"Gum Thickets"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4300500,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4301500,"Long Pt Ground"
NA,4302000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
NA,4301000,"Long Pt Ground"
