UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesX,milesY
375000,4269000,CB4MH,31.16798,1e+06,1.29,67.5,375000 4269000,9.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,6.56168,1e+06,9.44,72.99,375000 4269000,2,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,21.32546,1e+06,0.86,67.4,375000 4269000,6.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,27.88714,1e+06,1.14,67.5,375000 4269000,8.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,22.96588,1e+06,0.9,67.5,375000 4269000,7,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,24.6063,1e+06,0.95,67.5,375000 4269000,7.5,Unsuitable,black,YES,233.014125,126.632799
375000,4269000,CB4MH,8.2021,1e+06,9.14,72.59,375000 4269000,2.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4269000,CB4MH,11.48294,1e+06,6.04,69.54,375000 4269000,3.5,Suitable,dodgerblue,YES,233.014125,126.632799
375000,4270000,CB4MH,24.6063,1e+06,0.93,67.5,375000 4270000,7.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,21.32546,1e+06,0.93,67.43,375000 4270000,6.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,26.24672,1e+06,0.99,67.49,375000 4270000,8,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4270000,10,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,1.64042,1e+06,10.02,73.12,375000 4270000,0.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,18.04462,1e+06,1.51,67.59,375000 4270000,5.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,14.76378,1e+06,2.67,68.26,375000 4270000,4.5,Marginal,orange,YES,233.014125,127.25417
375000,4270000,CB4MH,31.16798,1e+06,1.21,67.49,375000 4270000,9.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,6.56168,1e+06,9.37,72.93,375000 4270000,2,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,4.92126,1e+06,9.65,73.02,375000 4270000,1.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,22.96588,1e+06,0.92,67.51,375000 4270000,7,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,16.4042,1e+06,2.08,67.84,375000 4270000,5,Marginal,orange,YES,233.014125,127.25417
375000,4270000,CB4MH,13.12336,1e+06,3.84,68.71,375000 4270000,4,Tolerable,yellow,YES,233.014125,127.25417
375000,4270000,CB4MH,0,1e+06,10.09,73.3,375000 4270000,0,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,27.88714,1e+06,1.07,67.48,375000 4270000,8.5,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,9.84252,1e+06,8.15,71.32,375000 4270000,3,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,8.2021,1e+06,9.06,72.53,375000 4270000,2.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,19.68504,1e+06,1.26,67.49,375000 4270000,6,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,29.52756,1e+06,1.16,67.48,375000 4270000,9,Unsuitable,black,YES,233.014125,127.25417
375000,4270000,CB4MH,3.28084,1e+06,9.87,73.07,375000 4270000,1,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4270000,CB4MH,11.48294,1e+06,6.26,69.8,375000 4270000,3.5,Suitable,dodgerblue,YES,233.014125,127.25417
375000,4271000,CB4MH,1.64042,1e+06,10.05,73.25,375000 4271000,0.5,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,6.56168,1e+06,9.29,72.84,375000 4271000,2,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,26.24672,1e+06,0.92,67.47,375000 4271000,8,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,27.88714,1e+06,0.99,67.46,375000 4271000,8.5,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,16.4042,1e+06,2.39,68.05,375000 4271000,5,Marginal,orange,YES,233.014125,127.875541
375000,4271000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4271000,10,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,0,1e+06,10.18,73.42,375000 4271000,0,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,13.12336,1e+06,4.15,68.96,375000 4271000,4,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,4.92126,1e+06,9.62,73.02,375000 4271000,1.5,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,31.16798,1e+06,1.13,67.48,375000 4271000,9.5,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,8.2021,1e+06,8.96,72.44,375000 4271000,2.5,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,9.84252,1e+06,8.18,71.4,375000 4271000,3,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,11.48294,1e+06,6.45,70.04,375000 4271000,3.5,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,14.76378,1e+06,3,68.47,375000 4271000,4.5,Tolerable,yellow,YES,233.014125,127.875541
375000,4271000,CB4MH,3.28084,1e+06,9.86,73.15,375000 4271000,1,Suitable,dodgerblue,YES,233.014125,127.875541
375000,4271000,CB4MH,29.52756,1e+06,1.07,67.46,375000 4271000,9,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,19.68504,1e+06,1.43,67.58,375000 4271000,6,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,24.6063,1e+06,0.91,67.49,375000 4271000,7.5,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,18.04462,1e+06,1.83,67.76,375000 4271000,5.5,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,22.96588,1e+06,0.93,67.51,375000 4271000,7,Unsuitable,black,YES,233.014125,127.875541
375000,4271000,CB4MH,21.32546,1e+06,1,67.45,375000 4271000,6.5,Unsuitable,black,YES,233.014125,127.875541
375000,4272000,CB4MH,16.4042,1e+06,2.51,68.15,375000 4272000,5,Marginal,orange,YES,233.014125,128.496912
375000,4272000,CB4MH,8.2021,1e+06,8.86,72.33,375000 4272000,2.5,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,26.24672,1e+06,0.87,67.46,375000 4272000,8,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,32.8084,1e+06,1.3,67.5,375000 4272000,10,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,19.68504,1e+06,1.5,67.61,375000 4272000,6,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,21.32546,1e+06,1.02,67.46,375000 4272000,6.5,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,22.96588,1e+06,0.91,67.49,375000 4272000,7,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,14.76378,1e+06,3.11,68.55,375000 4272000,4.5,Tolerable,yellow,YES,233.014125,128.496912
375000,4272000,CB4MH,1.64042,1e+06,10.09,73.37,375000 4272000,0.5,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,4.92126,1e+06,9.63,73.01,375000 4272000,1.5,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,31.16798,1e+06,1.08,67.48,375000 4272000,9.5,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,18.04462,1e+06,1.98,67.86,375000 4272000,5.5,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,6.56168,1e+06,9.25,72.75,375000 4272000,2,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,0,1e+06,10.24,73.53,375000 4272000,0,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,9.84252,1e+06,8.16,71.43,375000 4272000,3,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,24.6063,1e+06,0.87,67.47,375000 4272000,7.5,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,3.28084,1e+06,9.88,73.2,375000 4272000,1,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,27.88714,1e+06,0.94,67.45,375000 4272000,8.5,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,29.52756,1e+06,1.02,67.45,375000 4272000,9,Unsuitable,black,YES,233.014125,128.496912
375000,4272000,CB4MH,13.12336,1e+06,4.22,69.06,375000 4272000,4,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4272000,CB4MH,11.48294,1e+06,6.5,70.14,375000 4272000,3.5,Suitable,dodgerblue,YES,233.014125,128.496912
375000,4273000,CB4MH,19.68504,1e+06,1.43,67.6,375000 4273000,6,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,4.92126,1e+06,9.65,72.87,375000 4273000,1.5,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,21.32546,1e+06,0.98,67.45,375000 4273000,6.5,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,26.24672,1e+06,0.84,67.45,375000 4273000,8,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,18.04462,1e+06,1.94,67.86,375000 4273000,5.5,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,16.4042,1e+06,2.42,68.13,375000 4273000,5,Marginal,orange,YES,233.014125,129.118283
375000,4273000,CB4MH,29.52756,1e+06,1.01,67.45,375000 4273000,9,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,0,1e+06,10.3,73.73,375000 4273000,0,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,3.28084,1e+06,9.94,73.05,375000 4273000,1,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,13.12336,1e+06,4.06,68.98,375000 4273000,4,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,27.88714,1e+06,0.92,67.45,375000 4273000,8.5,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,24.6063,1e+06,0.83,67.44,375000 4273000,7.5,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,22.96588,1e+06,0.86,67.47,375000 4273000,7,Unsuitable,black,YES,233.014125,129.118283
375000,4273000,CB4MH,14.76378,1e+06,2.97,68.47,375000 4273000,4.5,Marginal,orange,YES,233.014125,129.118283
375000,4273000,CB4MH,6.56168,1e+06,9.24,72.67,375000 4273000,2,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,1.64042,1e+06,10.17,73.43,375000 4273000,0.5,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,11.48294,1e+06,5.87,69.77,375000 4273000,3.5,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,8.2021,1e+06,8.52,72.03,375000 4273000,2.5,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4273000,CB4MH,9.84252,1e+06,7.46,70.95,375000 4273000,3,Suitable,dodgerblue,YES,233.014125,129.118283
375000,4286000,CB4MH,21.32546,1e+06,0.39,67.12,375000 4286000,6.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,32.8084,1e+06,0.8,67.38,375000 4286000,10,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,4.92126,1e+06,9.85,72.85,375000 4286000,1.5,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,0,1e+06,10.87,74.56,375000 4286000,0,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,8.2021,1e+06,8.08,71.67,375000 4286000,2.5,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,36.08924,1e+06,0.81,67.38,375000 4286000,11,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,22.96588,1e+06,0.4,67.15,375000 4286000,7,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,13.12336,1e+06,2.17,67.73,375000 4286000,4,Marginal,orange,YES,233.014125,137.196106
375000,4286000,CB4MH,1.64042,1e+06,10.82,74.18,375000 4286000,0.5,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,26.24672,1e+06,0.53,67.24,375000 4286000,8,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,16.4042,1e+06,0.82,67.21,375000 4286000,5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,9.84252,1e+06,7.03,70.69,375000 4286000,3,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,34.44882,1e+06,0.81,67.38,375000 4286000,10.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,29.52756,1e+06,0.74,67.35,375000 4286000,9,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,14.76378,1e+06,1.17,67.37,375000 4286000,4.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,3.28084,1e+06,10.49,73.37,375000 4286000,1,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,19.68504,1e+06,0.4,67.1,375000 4286000,6,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,27.88714,1e+06,0.66,67.31,375000 4286000,8.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,18.04462,1e+06,0.57,67.13,375000 4286000,5.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,6.56168,1e+06,9.12,72.44,375000 4286000,2,Suitable,dodgerblue,YES,233.014125,137.196106
375000,4286000,CB4MH,24.6063,1e+06,0.42,67.17,375000 4286000,7.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,31.16798,1e+06,0.79,67.38,375000 4286000,9.5,Unsuitable,black,YES,233.014125,137.196106
375000,4286000,CB4MH,11.48294,1e+06,3.98,68.6,375000 4286000,3.5,Tolerable,yellow,YES,233.014125,137.196106
375000,4287000,CB4MH,36.08924,1e+06,0.72,67.36,375000 4287000,11,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,3.28084,1e+06,10.55,73.42,375000 4287000,1,Suitable,dodgerblue,YES,233.014125,137.817477
375000,4287000,CB4MH,27.88714,1e+06,0.58,67.26,375000 4287000,8.5,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,6.56168,1e+06,9.09,72.42,375000 4287000,2,Suitable,dodgerblue,YES,233.014125,137.817477
375000,4287000,CB4MH,1.64042,1e+06,10.93,74.24,375000 4287000,0.5,Suitable,dodgerblue,YES,233.014125,137.817477
375000,4287000,CB4MH,0,1e+06,10.99,74.62,375000 4287000,0,Suitable,dodgerblue,YES,233.014125,137.817477
375000,4287000,CB4MH,32.8084,1e+06,0.71,67.36,375000 4287000,10,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,26.24672,1e+06,0.47,67.2,375000 4287000,8,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,22.96588,1e+06,0.36,67.11,375000 4287000,7,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,19.68504,1e+06,0.36,67.05,375000 4287000,6,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,29.52756,1e+06,0.65,67.31,375000 4287000,9,Unsuitable,black,YES,233.014125,137.817477
375000,4287000,CB4MH,31.16798,1e+06,0.69,67.36,375000 4287000,9.5,Unsuitable,black,YES,233.014125,137.817477
