"Segment","UTMX","UTMY","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","habitat","paramofinterest","heatcol","habitatword"
"POTOH",299000,4257000,0,250000,8.39,74.03,"299000 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4257500,0,250000,8.38,74,"299000 4257500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4258000,0,250000,8.37,73.98,"299000 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4258500,0,250000,8.36,73.97,"299000 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4259000,0,250000,8.34,73.97,"299000 4259000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4259500,0,250000,8.32,73.98,"299000 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4260000,0,250000,8.3,74,"299000 4260000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4260500,0,250000,8.27,74.03,"299000 4260500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4261000,0,250000,8.24,74.07,"299000 4261000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4261500,0,250000,8.21,74.11,"299000 4261500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4262000,0,250000,8.18,74.16,"299000 4262000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4262500,0,250000,8.14,74.21,"299000 4262500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4263000,0,250000,8.08,74.54,"299000 4263000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4263500,0,250000,8.05,74.55,"299000 4263500",0,3,3,"#1E90FF","Suitable"
"POTTF",299000,4270000,0,250000,8.09,74.49,"299000 4270000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4246500,0,250000,8.51,72.48,"299500 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4247000,0,250000,8.5,72.64,"299500 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4249500,0,250000,8.46,73.55,"299500 4249500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4250000,0,250000,8.44,73.73,"299500 4250000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4250500,0,250000,8.43,73.89,"299500 4250500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4251000,0,250000,8.42,74.03,"299500 4251000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4251500,0,250000,8.4,74.14,"299500 4251500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4252000,0,250000,8.4,74.23,"299500 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4252500,0,250000,8.39,74.28,"299500 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4253000,0,250000,8.39,74.31,"299500 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4253500,0,250000,8.39,74.32,"299500 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4254000,0,250000,8.39,74.3,"299500 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4254500,0,250000,8.39,74.27,"299500 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",299500,4255000,0,250000,8.39,74.23,"299500 4255000",0,3,3,"#1E90FF","Suitable"
