"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
396500,4316000,"CHSMH",3.28084,250000,7.5,72.71,"396500 4316000",1,"Black Beard's Bluff",3,3,"#1E90FF","Suitable"
396500,4316500,"CHSMH",4.92126,250000,7.45,72.71,"396500 4316500",1.5,"Black Beard's Bluff",3,3,"#1E90FF","Suitable"
397000,4206000,"CB5MH_MD",8.2021,1000000,7.69,73.81,"397000 4206000",2.5,"Southwest Middle Grounds",3,3,"#1E90FF","Suitable"
397000,4207000,"CB5MH_MD",1.64042,1000000,7.76,73.84,"397000 4207000",0.5,"Southwest Middle Grounds",3,3,"#1E90FF","Suitable"
397000,4210000,"CB5MH_MD",9.84252,1000000,7.54,73.72,"397000 4210000",3,"Middle Grounds",3,3,"#1E90FF","Suitable"
397000,4211000,"CB5MH_MD",0,1000000,7.67,73.65,"397000 4211000",0,"Middle Grounds",3,3,"#1E90FF","Suitable"
397000,4212000,"CB5MH_MD",0,1000000,7.65,73.62,"397000 4212000",0,"Middle Grounds",3,3,"#1E90FF","Suitable"
397000,4316500,"CHSMH",0,250000,7.57,72.25,"397000 4316500",0,"Black Beard's Bluff",3,3,"#1E90FF","Suitable"
397000,4317000,"CHSMH",14.76378,250000,0.49,76.46,"397000 4317000",4.5,"Black Beard's Bluff",0,0,"#000000","Unsuitable"
397500,4237000,"HNGMH",3.28084,10000,7.87,73.89,"397500 4237000",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397500,4237100,"HNGMH",0,10000,8.03,73.9,"397500 4237100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397500,4237200,"HNGMH",1.64042,10000,7.96,73.9,"397500 4237200",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397500,4237300,"HNGMH",0,10000,8.04,73.91,"397500 4237300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4236800,"HNGMH",1.64042,10000,7.95,73.88,"397600 4236800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4236900,"HNGMH",1.64042,10000,7.95,73.88,"397600 4236900",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4237000,"HNGMH",0,10000,8.03,73.9,"397600 4237000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4237100,"HNGMH",0,10000,8.03,73.9,"397600 4237100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4237200,"HNGMH",0,10000,8.03,73.9,"397600 4237200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4237300,"HNGMH",0,10000,8.04,73.91,"397600 4237300",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397600,4237400,"HNGMH",0,10000,8.04,73.91,"397600 4237400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4236600,"HNGMH",0,10000,8.01,73.88,"397700 4236600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4236700,"HNGMH",0,10000,8.02,73.88,"397700 4236700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4236800,"HNGMH",1.64042,10000,7.95,73.87,"397700 4236800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4236900,"HNGMH",3.28084,10000,7.87,73.88,"397700 4236900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237000,"HNGMH",0,10000,8.03,73.89,"397700 4237000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237100,"HNGMH",0,10000,8.03,73.9,"397700 4237100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237200,"HNGMH",0,10000,8.03,73.9,"397700 4237200",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237300,"HNGMH",1.64042,10000,7.96,73.89,"397700 4237300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237400,"HNGMH",0,10000,8.04,73.91,"397700 4237400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397700,4237500,"HNGMH",0,10000,8.04,73.91,"397700 4237500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236400,"HNGMH",0,10000,8.01,73.87,"397800 4236400",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236500,"HNGMH",1.64042,10000,7.94,73.86,"397800 4236500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236600,"HNGMH",3.28084,10000,7.85,73.86,"397800 4236600",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236700,"HNGMH",1.64042,10000,7.94,73.87,"397800 4236700",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236800,"HNGMH",1.64042,10000,7.94,73.87,"397800 4236800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4236900,"HNGMH",1.64042,10000,7.95,73.87,"397800 4236900",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
397800,4237000,"HNGMH",1.64042,10000,7.95,73.88,"397800 4237000",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
