X,colout,Sdepth,UTMX,UTMY
47251,7.05,2.5,399000,4110000
47252,6.87,3,399000,4110000
47253,6.98,3.5,399000,4110000
47254,7.01,4,399000,4110000
47255,6.84,4.5,399000,4110000
47256,6.57,5,399000,4110000
47257,6.39,5.5,399000,4110000
47258,6.38,6,399000,4110000
47092,7.79,0,397000,4111000
47094,7.79,1,397000,4111000
47096,7.49,2,397000,4111000
47098,6.95,3,397000,4111000
47100,7,4,397000,4111000
47102,6.58,5,397000,4111000
47105,7.81,0.5,398000,4111000
47107,7.76,1.5,398000,4111000
47109,7.07,2.5,398000,4111000
47111,6.99,3.5,398000,4111000
47113,6.84,4.5,398000,4111000
47115,6.41,5.5,398000,4111000
46963,7.76,0.5,397000,4112000
46965,7.7,1.5,397000,4112000
46967,7.12,2.5,397000,4112000
46969,7.04,3.5,397000,4112000
46971,6.84,4.5,397000,4112000
46973,6.43,5.5,397000,4112000
46974,7.78,0,398000,4112000
46976,7.78,1,398000,4112000
46978,7.46,2,398000,4112000
46980,6.93,3,398000,4112000
46982,6.99,4,398000,4112000
46984,6.58,5,398000,4112000
34521,7.7,0.5,392000,4113000
34525,7.11,2.5,392000,4113000
34529,6.75,4.5,392000,4113000
34534,7.62,1.5,393000,4113000
34538,7.12,3.5,393000,4113000
34563,7.72,0.5,396000,4113000
34567,7.16,2.5,396000,4113000
34571,6.78,4.5,396000,4113000
46836,7.66,1.5,397000,4113000
46840,7.03,3.5,397000,4113000
34470,7.69,0,397000,4114000
34471,7.7,0.5,397000,4114000
34472,7.69,1,397000,4114000
34473,7.62,1.5,397000,4114000
34474,7.44,2,397000,4114000
34475,7.16,2.5,397000,4114000
34476,7.05,3,397000,4114000
34477,7.07,3.5,397000,4114000
34478,6.91,4,397000,4114000
34479,6.77,4.5,397000,4114000
34480,6.53,5,397000,4114000
46687,7.36,0,410000,4115000
46688,7.38,0.5,410000,4115000
46689,7.38,1,410000,4115000
46690,7.34,1.5,410000,4115000
46691,7.24,2,410000,4115000
46692,7.1,2.5,410000,4115000
46693,7.02,3,410000,4115000
46694,6.98,3.5,410000,4115000
46695,6.88,4,410000,4115000
46696,6.77,4.5,410000,4115000
46697,6.57,5,410000,4115000
46698,6.52,5.5,410000,4115000
46699,6.54,6,410000,4115000
46700,6.63,6.5,410000,4115000
46701,6.64,7,410000,4115000
46702,6.68,7.5,410000,4115000
46703,6.7,8,410000,4115000
46704,6.7,8.5,410000,4115000
46705,6.7,9,410000,4115000
46553,7.29,0,409000,4116000
46554,7.32,0.5,409000,4116000
46555,7.32,1,409000,4116000
46556,7.29,1.5,409000,4116000
46557,7.21,2,409000,4116000
46558,7.07,2.5,409000,4116000
46559,7,3,409000,4116000
46560,6.95,3.5,409000,4116000
46561,6.83,4,409000,4116000
46562,6.72,4.5,409000,4116000
46563,6.57,5,409000,4116000
46564,6.53,5.5,409000,4116000
46565,6.55,6,409000,4116000
46566,6.63,6.5,409000,4116000
46567,6.64,7,409000,4116000
46568,6.68,7.5,409000,4116000
46569,6.7,8,409000,4116000
46570,6.7,8.5,409000,4116000
46571,6.7,9,409000,4116000
46572,6.7,9.5,409000,4116000
46573,6.7,10,409000,4116000
46574,6.7,10.5,409000,4116000
46575,6.7,11,409000,4116000
46421,7.21,0,408000,4117000
46422,7.25,0.5,408000,4117000
46423,7.26,1,408000,4117000
46424,7.24,1.5,408000,4117000
46425,7.17,2,408000,4117000
46426,7.05,2.5,408000,4117000
46427,6.98,3,408000,4117000
46428,6.92,3.5,408000,4117000
46429,6.75,4,408000,4117000
46430,6.63,4.5,408000,4117000
46431,6.5,5,408000,4117000
46432,6.48,5.5,408000,4117000
46433,6.53,6,408000,4117000
46434,6.58,6.5,408000,4117000
46435,6.6,7,408000,4117000
46436,6.63,7.5,408000,4117000
46437,6.66,8,408000,4117000
46438,6.66,8.5,408000,4117000
46439,6.66,9,408000,4117000
46440,5.08,9.5,408000,4117000
46441,5.07,10,408000,4117000
46442,5.07,10.5,408000,4117000
46443,5.07,11,408000,4117000
46286,7.15,0,407000,4118000
46287,7.19,0.5,407000,4118000
46288,7.21,1,407000,4118000
46289,7.19,1.5,407000,4118000
46290,7.14,2,407000,4118000
46291,7.04,2.5,407000,4118000
46292,6.96,3,407000,4118000
46293,6.89,3.5,407000,4118000
46294,6.73,4,407000,4118000
46295,6.61,4.5,407000,4118000
46296,6.53,5,407000,4118000
46297,6.52,5.5,407000,4118000
46298,6.56,6,407000,4118000
46299,6.6,6.5,407000,4118000
46300,6.62,7,407000,4118000
46301,6.65,7.5,407000,4118000
46302,6.68,8,407000,4118000
46303,6.68,8.5,407000,4118000
46304,6.68,9,407000,4118000
46305,5.08,9.5,407000,4118000
46306,5.07,10,407000,4118000
46162,7.1,0,407000,4119000
46163,7.15,0.5,407000,4119000
46164,7.17,1,407000,4119000
46165,7.15,1.5,407000,4119000
46166,7.12,2,407000,4119000
46167,7.02,2.5,407000,4119000
46168,6.95,3,407000,4119000
46169,6.88,3.5,407000,4119000
46170,6.72,4,407000,4119000
46171,6.6,4.5,407000,4119000
46172,6.55,5,407000,4119000
46173,6.54,5.5,407000,4119000
46174,6.58,6,407000,4119000
46175,6.61,6.5,407000,4119000
46176,6.63,7,407000,4119000
46177,6.66,7.5,407000,4119000
46178,6.69,8,407000,4119000
46179,6.69,8.5,407000,4119000
46180,6.69,9,407000,4119000
46181,5.08,9.5,407000,4119000
46182,5.07,10,407000,4119000
46183,5.07,10.5,407000,4119000
46016,7.08,0,406000,4120000
46017,7.12,0.5,406000,4120000
46018,7.15,1,406000,4120000
46019,7.14,1.5,406000,4120000
46020,7.1,2,406000,4120000
46021,7.02,2.5,406000,4120000
46022,6.95,3,406000,4120000
46023,6.87,3.5,406000,4120000
46024,6.72,4,406000,4120000
46025,6.6,4.5,406000,4120000
46026,6.56,5,406000,4120000
46027,6.56,5.5,406000,4120000
46028,6.59,6,406000,4120000
46029,6.62,6.5,406000,4120000
46030,6.64,7,406000,4120000
46031,6.67,7.5,406000,4120000
46032,6.7,8,406000,4120000
46033,6.7,8.5,406000,4120000
46034,6.7,9,406000,4120000
46035,5.08,9.5,406000,4120000
46036,5.07,10,406000,4120000
46037,5.07,10.5,406000,4120000
45884,7.07,0,406000,4121000
45885,7.12,0.5,406000,4121000
45886,7.14,1,406000,4121000
45887,7.13,1.5,406000,4121000
45888,7.1,2,406000,4121000
45889,7.02,2.5,406000,4121000
45890,6.95,3,406000,4121000
45891,6.87,3.5,406000,4121000
45892,6.72,4,406000,4121000
45893,6.6,4.5,406000,4121000
45894,6.56,5,406000,4121000
45895,6.56,5.5,406000,4121000
45896,6.59,6,406000,4121000
45897,6.62,6.5,406000,4121000
45898,6.64,7,406000,4121000
45899,6.67,7.5,406000,4121000
45900,6.7,8,406000,4121000
45901,6.7,8.5,406000,4121000
45902,6.7,9,406000,4121000
45903,5.08,9.5,406000,4121000
45904,5.07,10,406000,4121000
45905,5.07,10.5,406000,4121000
45906,5.07,11,406000,4121000
45907,5.07,11.5,406000,4121000
45908,5.07,12,406000,4121000
45734,7.11,0,405000,4122000
45735,7.15,0.5,405000,4122000
45736,7.18,1,405000,4122000
45737,7.16,1.5,405000,4122000
45738,7.12,2,405000,4122000
45739,7.02,2.5,405000,4122000
45740,6.95,3,405000,4122000
45741,6.86,3.5,405000,4122000
45742,6.7,4,405000,4122000
45743,6.58,4.5,405000,4122000
45744,6.54,5,405000,4122000
45745,6.54,5.5,405000,4122000
45746,6.57,6,405000,4122000
45747,6.61,6.5,405000,4122000
45748,6.63,7,405000,4122000
45749,6.66,7.5,405000,4122000
45750,6.68,8,405000,4122000
45751,6.68,8.5,405000,4122000
45752,6.68,9,405000,4122000
45753,5.08,9.5,405000,4122000
45754,5.07,10,405000,4122000
45755,5.07,10.5,405000,4122000
45756,5.07,11,405000,4122000
45757,5.07,11.5,405000,4122000
45758,5.07,12,405000,4122000
45606,7.15,0,405000,4123000
45607,7.19,0.5,405000,4123000
45608,7.21,1,405000,4123000
45609,7.19,1.5,405000,4123000
45610,7.14,2,405000,4123000
45611,7.03,2.5,405000,4123000
45612,6.95,3,405000,4123000
45613,6.86,3.5,405000,4123000
45614,6.67,4,405000,4123000
45615,6.55,4.5,405000,4123000
45616,6.51,5,405000,4123000
45617,6.51,5.5,405000,4123000
45618,6.55,6,405000,4123000
45619,6.59,6.5,405000,4123000
45620,6.61,7,405000,4123000
45621,6.64,7.5,405000,4123000
45622,6.66,8,405000,4123000
45623,6.66,8.5,405000,4123000
45624,6.67,9,405000,4123000
45625,5.08,9.5,405000,4123000
45626,5.07,10,405000,4123000
45627,5.07,10.5,405000,4123000
45628,5.07,11,405000,4123000
45629,5.07,11.5,405000,4123000
45630,5.07,12,405000,4123000
45464,7.23,0,404000,4124000
45465,7.27,0.5,404000,4124000
