"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
400500,4234700,"HNGMH",0,10000,7.13,82.3,"400500 4234700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4234800,"HNGMH",3.28084,10000,6.93,82.2,"400500 4234800",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4234900,"HNGMH",3.28084,10000,6.94,82.2,"400500 4234900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4235000,"HNGMH",0,10000,7.14,82.3,"400500 4235000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4235100,"HNGMH",0,10000,7.15,82.3,"400500 4235100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4235200,"HNGMH",1.64042,10000,7.08,82.2,"400500 4235200",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4234500,"HNGMH",3.28084,10000,6.92,82.2,"400600 4234500",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4234600,"HNGMH",0,10000,7.13,82.3,"400600 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4234700,"HNGMH",1.64042,10000,7.06,82.2,"400600 4234700",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4234800,"HNGMH",3.28084,10000,6.93,82.2,"400600 4234800",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4234900,"HNGMH",1.64042,10000,7.07,82.2,"400600 4234900",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4235000,"HNGMH",3.28084,10000,6.94,82.2,"400600 4235000",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400600,4235100,"HNGMH",1.64042,10000,7.08,82.2,"400600 4235100",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234400,"HNGMH",1.64042,10000,7.04,82.2,"400700 4234400",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234500,"HNGMH",0,10000,7.12,82.3,"400700 4234500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234600,"HNGMH",3.28084,10000,6.92,82.2,"400700 4234600",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234700,"HNGMH",0,10000,7.13,82.3,"400700 4234700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234800,"HNGMH",3.28084,10000,6.93,82.2,"400700 4234800",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400700,4234900,"HNGMH",1.64042,10000,7.07,82.2,"400700 4234900",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
