UTMX,UTMY
399000,4356000
400000,4356000
401000,4356000
402000,4356000
392000,4355000
393000,4355000
394000,4355000
395000,4355000
396000,4355000
397000,4355000
398000,4355000
399000,4355000
400000,4355000
401000,4355000
402000,4355000
391000,4354000
392000,4354000
393000,4354000
394000,4354000
395000,4354000
396000,4354000
397000,4354000
398000,4354000
403000,4354000
390000,4353000
391000,4353000
392000,4353000
393000,4353000
394000,4353000
395000,4353000
396000,4353000
397000,4353000
406000,4353000
385000,4352000
386000,4352000
390000,4352000
391000,4352000
392000,4352000
393000,4352000
394000,4352000
395000,4352000
396000,4352000
397000,4352000
383000,4351000
384000,4351000
385000,4351000
386000,4351000
387000,4351000
388000,4351000
390000,4351000
391000,4351000
392000,4351000
393000,4351000
394000,4351000
395000,4351000
396000,4351000
397000,4351000
398000,4351000
382000,4350000
383000,4350000
384000,4350000
385000,4350000
386000,4350000
387000,4350000
388000,4350000
389000,4350000
390000,4350000
391000,4350000
392000,4350000
393000,4350000
394000,4350000
395000,4350000
396000,4350000
397000,4350000
398000,4350000
399000,4350000
381000,4349000
382000,4349000
383000,4349000
384000,4349000
385000,4349000
386000,4349000
387000,4349000
388000,4349000
389000,4349000
390000,4349000
392000,4349000
393000,4349000
394000,4349000
395000,4349000
396000,4349000
397000,4349000
399000,4349000
380000,4348000
381000,4348000
382000,4348000
383000,4348000
384000,4348000
385000,4348000
386000,4348000
387000,4348000
388000,4348000
389000,4348000
390000,4348000
391000,4348000
392000,4348000
393000,4348000
394000,4348000
395000,4348000
396000,4348000
399000,4348000
380000,4347000
381000,4347000
382000,4347000
383000,4347000
384000,4347000
385000,4347000
386000,4347000
387000,4347000
388000,4347000
389000,4347000
390000,4347000
391000,4347000
392000,4347000
393000,4347000
394000,4347000
395000,4347000
379000,4346000
380000,4346000
381000,4346000
383000,4346000
384000,4346000
385000,4346000
386000,4346000
387000,4346000
388000,4346000
389000,4346000
390000,4346000
391000,4346000
392000,4346000
393000,4346000
394000,4346000
396000,4346000
379000,4345000
380000,4345000
381000,4345000
382000,4345000
383000,4345000
384000,4345000
385000,4345000
386000,4345000
387000,4345000
388000,4345000
389000,4345000
390000,4345000
391000,4345000
392000,4345000
393000,4345000
394000,4345000
397000,4345000
380000,4344000
381000,4344000
382000,4344000
383000,4344000
384000,4344000
385000,4344000
386000,4344000
387000,4344000
388000,4344000
389000,4344000
390000,4344000
391000,4344000
392000,4344000
393000,4344000
380000,4343000
381000,4343000
382000,4343000
383000,4343000
384000,4343000
385000,4343000
386000,4343000
387000,4343000
388000,4343000
389000,4343000
390000,4343000
391000,4343000
392000,4343000
393000,4343000
383000,4342000
384000,4342000
385000,4342000
386000,4342000
387000,4342000
388000,4342000
389000,4342000
390000,4342000
391000,4342000
392000,4342000
390000,4341000
391000,4341000
392000,4341000
378000,4342000
379000,4342000
380000,4342000
381000,4342000
382000,4342000
376000,4341000
378000,4341000
379000,4341000
380000,4341000
381000,4341000
382000,4341000
383000,4341000
384000,4341000
385000,4341000
386000,4341000
387000,4341000
388000,4341000
389000,4341000
377000,4340000
378000,4340000
379000,4340000
380000,4340000
381000,4340000
382000,4340000
383000,4340000
384000,4340000
385000,4340000
386000,4340000
387000,4340000
388000,4340000
389000,4340000
390000,4340000
391000,4340000
392000,4340000
376000,4339000
377000,4339000
378000,4339000
379000,4339000
380000,4339000
381000,4339000
382000,4339000
383000,4339000
384000,4339000
385000,4339000
386000,4339000
387000,4339000
388000,4339000
389000,4339000
390000,4339000
391000,4339000
376000,4338000
377000,4338000
378000,4338000
379000,4338000
380000,4338000
381000,4338000
382000,4338000
383000,4338000
384000,4338000
385000,4338000
386000,4338000
387000,4338000
388000,4338000
389000,4338000
390000,4338000
376000,4337000
377000,4337000
378000,4337000
379000,4337000
380000,4337000
381000,4337000
382000,4337000
383000,4337000
384000,4337000
385000,4337000
386000,4337000
387000,4337000
388000,4337000
389000,4337000
390000,4337000
376000,4336000
377000,4336000
378000,4336000
379000,4336000
380000,4336000
381000,4336000
382000,4336000
383000,4336000
384000,4336000
385000,4336000
386000,4336000
387000,4336000
388000,4336000
389000,4336000
376000,4335000
377000,4335000
378000,4335000
379000,4335000
380000,4335000
381000,4335000
382000,4335000
383000,4335000
384000,4335000
385000,4335000
386000,4335000
387000,4335000
388000,4335000
389000,4335000
376000,4334000
377000,4334000
378000,4334000
379000,4334000
380000,4334000
381000,4334000
382000,4334000
383000,4334000
384000,4334000
385000,4334000
386000,4334000
387000,4334000
388000,4334000
389000,4334000
376000,4333000
377000,4333000
378000,4333000
379000,4333000
380000,4333000
381000,4333000
382000,4333000
383000,4333000
384000,4333000
385000,4333000
386000,4333000
387000,4333000
388000,4333000
389000,4333000
390000,4333000
391000,4333000
377000,4332000
378000,4332000
379000,4332000
380000,4332000
381000,4332000
382000,4332000
383000,4332000
384000,4332000
385000,4332000
386000,4332000
387000,4332000
388000,4332000
389000,4332000
390000,4332000
391000,4332000
392000,4332000
