"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempF"
"CB5.1",2025-07-23,29,27,7.4,0.1,31500,19.6,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,31,26.9,7.4,0.1,31600,19.6,NA,NA,"MDmain",80.42
"CB5.1",2025-07-23,32,26.9,7.4,0.1,31700,19.7,NA,NA,"MDmain",80.42
"CB4.4",2025-07-21,0.5,28.7,8.1,6.2,18000,10.6,NA,"1.5","MDmain",83.66
"CB4.4",2025-07-21,1,28.7,8.1,6.2,18000,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,2,28.7,8.1,6.2,18000,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,3,28.7,8.1,6.2,18000,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,4,28.7,8,6.1,18000,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,5,28.7,8,6.1,18000,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,6,28.7,8,6,18100,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,7,28.7,8,6,18100,10.6,NA,NA,"MDmain",83.66
"CB4.4",2025-07-21,8,28.6,8,5.6,18100,10.7,NA,NA,"MDmain",83.48
"CB4.4",2025-07-21,9,28.2,7.6,3.8,18500,10.9,NA,NA,"MDmain",82.76
"CB4.4",2025-07-21,10,27,7.4,1.5,21600,12.9,NA,NA,"MDmain",80.6
"CB4.4",2025-07-21,11,26.8,7.3,1.1,23100,13.9,NA,NA,"MDmain",80.24
"CB4.4",2025-07-21,12,26.1,7.3,0.4,25200,15.3,NA,NA,"MDmain",78.98
"CB4.4",2025-07-21,13,26.1,7.3,0.4,25700,15.6,NA,NA,"MDmain",78.98
"CB4.4",2025-07-21,14,26.1,7.3,0.3,26000,15.9,NA,NA,"MDmain",78.98
"CB4.4",2025-07-21,15,25.9,7.3,0.2,26500,16.2,NA,NA,"MDmain",78.62
"CB4.4",2025-07-21,16,25.5,7.3,0.1,28500,17.6,NA,NA,"MDmain",77.9
"CB4.4",2025-07-21,17,25.3,7.3,0.1,28600,17.6,NA,NA,"MDmain",77.54
"CB4.4",2025-07-21,18,25.4,7.3,0.1,29100,18,NA,NA,"MDmain",77.72
"CB4.4",2025-07-21,19,25.4,7.3,0.1,29000,17.9,NA,NA,"MDmain",77.72
"CB4.4",2025-07-21,21,25.3,7.3,0.1,29100,18,NA,NA,"MDmain",77.54
"CB4.4",2025-07-21,23,25.3,7.3,0.1,29400,18.2,NA,NA,"MDmain",77.54
"CB4.4",2025-07-21,25,25.3,7.3,0.1,30000,18.6,NA,NA,"MDmain",77.54
"CB4.4",2025-07-21,27,25.3,7.3,0.1,30000,18.6,NA,NA,"MDmain",77.54
"CB4.3E",2025-07-21,0.5,28.7,8.1,6.6,17000,10,NA,"1.2","MDmain",83.66
"CB4.3E",2025-07-21,1,28.7,8.1,6.6,17000,10,NA,NA,"MDmain",83.66
"CB4.3E",2025-07-21,2,28.7,8.1,6.6,17000,10,NA,NA,"MDmain",83.66
"CB4.3E",2025-07-21,3,28.7,8.1,6.4,17400,10.2,NA,NA,"MDmain",83.66
"CB4.3E",2025-07-21,4,28.7,8.1,6.4,17800,10.4,NA,NA,"MDmain",83.66
"CB4.3E",2025-07-21,5,28.7,8,6.1,17900,10.5,NA,NA,"MDmain",83.66
"CB4.3E",2025-07-21,6,28.6,8,5.7,18100,10.7,NA,NA,"MDmain",83.48
"CB4.3E",2025-07-21,7,28.6,7.9,5.5,18100,10.7,NA,NA,"MDmain",83.48
"CB4.3E",2025-07-21,8,28.2,7.8,4.6,18500,10.9,NA,NA,"MDmain",82.76
"CB4.3E",2025-07-21,9,27.8,7.7,3.7,19100,11.3,NA,NA,"MDmain",82.04
"CB4.3E",2025-07-21,10,27.2,7.5,2.7,20400,12.2,NA,NA,"MDmain",80.96
"CB4.3E",2025-07-21,11,26.9,7.5,2.2,21100,12.6,NA,NA,"MDmain",80.42
"CB4.3E",2025-07-21,12,25.7,7.3,0.4,23900,13.9,NA,NA,"MDmain",78.26
"CB4.3E",2025-07-21,13,25.2,7.2,0.1,23900,14.5,NA,NA,"MDmain",77.36
"CB4.3E",2025-07-21,14,24.8,7.3,0.1,24000,14.5,NA,NA,"MDmain",76.64
"CB4.3E",2025-07-21,15,24.4,7.3,0.1,25300,15.4,NA,NA,"MDmain",75.92
"CB4.3E",2025-07-21,16,24.1,7.3,0.1,25900,15.8,NA,NA,"MDmain",75.38
"CB4.3E",2025-07-21,17,24.1,7.3,0.1,26200,16,NA,NA,"MDmain",75.38
"CB4.3E",2025-07-21,18,24,7.3,0.1,26700,16.4,NA,NA,"MDmain",75.2
"CB4.3E",2025-07-21,19,24,7.3,0.1,27200,16.7,NA,NA,"MDmain",75.2
"CB4.3E",2025-07-21,20,24,7.3,0.1,27300,16.8,NA,NA,"MDmain",75.2
"CB4.3C",2025-07-21,0.5,29,8.3,7.1,16600,9.7,NA,"1.4","MDmain",84.2
"CB4.3C",2025-07-21,1,29,8.3,7.2,16600,9.7,NA,NA,"MDmain",84.2
"CB4.3C",2025-07-21,2,29,8.3,7,16600,9.7,NA,NA,"MDmain",84.2
"CB4.3C",2025-07-21,3,29,8.3,7,16700,9.8,NA,NA,"MDmain",84.2
"CB4.3C",2025-07-21,4,29,8.2,6.8,16800,9.8,NA,NA,"MDmain",84.2
"CB4.3C",2025-07-21,5,29,8.2,6.6,16800,9.8,NA,NA,"MDmain",84.2
"CB4.3C",2025-07-21,6,28.9,8.2,6.5,16800,9.8,NA,NA,"MDmain",84.02
"CB4.3C",2025-07-21,7,28.9,8.2,6.3,16900,9.9,NA,NA,"MDmain",84.02
"CB4.3C",2025-07-21,8,28.9,8.1,6.1,16900,9.9,NA,NA,"MDmain",84.02
"CB4.3C",2025-07-21,9,28.8,8,5.2,17100,10,NA,NA,"MDmain",83.84
"CB4.3C",2025-07-21,10,27.2,7.2,0.2,17900,10.6,NA,NA,"MDmain",80.96
"CB4.3C",2025-07-21,11,26.2,7.2,0.1,20100,12,NA,NA,"MDmain",79.16
"CB4.3C",2025-07-21,12,25.7,7.3,0.1,21300,12.8,NA,NA,"MDmain",78.26
"CB4.3C",2025-07-21,13,25,7.3,0.1,24500,14.9,NA,NA,"MDmain",77
"CB4.3C",2025-07-21,14,24.7,7.3,0.1,25800,15.7,NA,NA,"MDmain",76.46
"CB4.3C",2025-07-21,15,24.7,7.3,0.1,26000,15.9,NA,NA,"MDmain",76.46
"CB4.3C",2025-07-21,16,24.7,7.3,0.1,26200,16,NA,NA,"MDmain",76.46
"CB4.3C",2025-07-21,17,24.4,7.3,0.1,26300,16.1,NA,NA,"MDmain",75.92
"CB4.3C",2025-07-21,18,24.4,7.3,0.1,27300,16.7,NA,NA,"MDmain",75.92
"CB4.3C",2025-07-21,19,24.2,7.3,0.1,28100,17.3,NA,NA,"MDmain",75.56
"CB4.3C",2025-07-21,21,24.2,7.3,0.1,28100,17.3,NA,NA,"MDmain",75.56
"CB4.3C",2025-07-21,23,24.2,7.3,0.1,28300,17.4,NA,NA,"MDmain",75.56
"CB4.3C",2025-07-21,25,24.1,7.3,0.1,28500,17.5,NA,NA,"MDmain",75.38
"CB4.3W",2025-07-21,0.5,28.7,8.3,6.7,15300,8.9,NA,"1.2","MDmain",83.66
"CB4.3W",2025-07-21,1,28.7,8.3,6.7,15300,8.9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,2,28.7,8.3,6.7,15300,8.9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,3,28.7,8.3,6.7,15300,8.9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,4,28.7,8.2,6.4,15300,8.9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,5,28.7,8.1,5.9,15400,9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,6,28.7,8.1,5.5,15500,9,NA,NA,"MDmain",83.66
"CB4.3W",2025-07-21,7,28.6,7.9,4.6,15700,9.2,NA,NA,"MDmain",83.48
"CB4.3W",2025-07-21,8,28.5,7.9,4.5,15800,9.2,NA,NA,"MDmain",83.3
"CB4.2W",2025-07-21,0.5,28.8,8.4,7,14600,8.4,NA,"1.2","MDmain",83.84
"CB4.2W",2025-07-21,1,28.8,8.4,6.9,14600,8.4,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,2,28.8,8.4,6.9,14600,8.4,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,3,28.8,8.4,7,14600,8.4,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,4,28.8,8.4,6.9,14600,8.4,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,5,28.8,8.4,6.8,14600,8.4,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,6,28.8,8.4,6.7,14600,8.5,NA,NA,"MDmain",83.84
"CB4.2W",2025-07-21,7,28.8,8.3,6.3,14700,8.5,NA,NA,"MDmain",83.84
"CB4.2C",2025-07-21,0.5,28.6,8.2,6.7,15800,9.2,NA,NA,"MDmain",83.48
"CB4.2C",2025-07-21,1,28.6,8.3,6.6,15800,9.2,NA,"1.2","MDmain",83.48
"CB4.2C",2025-07-21,2,28.6,8.2,6.6,15800,9.2,NA,NA,"MDmain",83.48
"CB4.2C",2025-07-21,3,28.6,8.2,6.5,15800,9.2,NA,NA,"MDmain",83.48
"CB4.2C",2025-07-21,4,28.7,8.2,6.3,16300,9.5,NA,NA,"MDmain",83.66
"CB4.2C",2025-07-21,5,28.8,8.1,5.9,16500,9.6,NA,NA,"MDmain",83.84
"CB4.2C",2025-07-21,6,28.6,7.9,4.7,17900,10.5,NA,NA,"MDmain",83.48
"CB4.2C",2025-07-21,7,27.3,7.5,2.3,19500,11.6,NA,NA,"MDmain",81.14
"CB4.2C",2025-07-21,8,26.6,7.4,1.7,20700,12.4,NA,NA,"MDmain",79.88
"CB4.2C",2025-07-21,9,26.3,7.4,1.4,21200,12.7,NA,NA,"MDmain",79.34
"CB4.2C",2025-07-21,10,25.9,7.3,1,21800,13.1,NA,NA,"MDmain",78.62
"CB4.2C",2025-07-21,11,25.2,7.3,0.4,23300,14.1,NA,NA,"MDmain",77.36
